,avg_win,avg_gus,avg_dir,rfm,Month,aag,aaw,aar,aad
2286,3.3,5.4,209.0,0.08,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2287,1.6,3.1,99.0,0.08,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2288,1.7,2.9,317.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2289,4.3,6.7,24.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2290,4.4,7.1,292.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2291,10.6,15.3,265.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2292,10.8,16.3,280.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2293,13.6,19.9,276.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2294,10.3,15.6,313.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2295,8.4,12.5,321.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2296,12.3,17.7,306.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2297,4.2,6.4,85.0,0.18,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2298,4.2,6.8,312.0,0.26,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2299,6.1,8.9,271.0,0.26,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2300,1.7,2.7,62.0,0.27,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2301,1.2,2.0,53.0,0.29,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2302,1.1,1.9,35.0,0.34,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2303,4.5,6.8,313.0,0.34,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2304,1.3,2.2,49.0,0.35,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2305,2.8,4.1,283.0,0.35,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2306,1.2,2.2,61.0,0.35,12,11.353003533568906,7.546643109540636,0.13053003533568905,216.86925795053003
2307,0.7,1.3,56.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2308,0.6,1.1,3.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2309,1.8,3.0,350.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2310,0.9,1.4,275.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2311,2.2,3.4,334.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2312,4.2,6.5,331.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2313,1.3,2.3,58.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2314,2.3,4.1,81.0,0.02,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2315,4.2,6.6,322.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2316,10.1,14.8,317.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2317,11.7,16.3,303.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2318,13.1,19.0,298.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2319,13.5,19.3,294.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2320,11.2,17.4,311.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2321,6.8,10.5,301.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2322,5.5,8.8,268.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2323,9.5,14.6,291.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2324,9.7,13.8,284.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2325,5.2,8.0,302.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2326,7.6,11.8,300.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2327,7.0,10.6,293.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2328,7.2,10.7,293.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2329,7.0,10.1,327.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2330,6.2,9.1,321.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2331,4.9,7.8,336.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2332,5.3,8.5,311.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2333,4.5,7.2,347.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2334,10.6,15.6,308.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2335,16.4,23.9,292.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2336,11.0,16.9,287.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2337,3.7,6.2,244.0,0.05,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2338,2.1,3.2,97.0,0.01,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2339,2.0,3.2,112.0,0.01,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2340,8.1,11.8,267.0,0.01,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2341,13.6,19.0,271.0,0.02,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2342,9.5,14.3,290.0,0.02,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2343,16.6,24.4,307.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2344,12.6,20.4,326.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2345,10.5,16.6,306.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2346,10.5,14.4,312.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2347,11.0,16.0,347.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2348,8.9,13.9,349.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2349,7.9,11.1,309.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2350,11.9,17.3,360.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2351,15.9,24.3,325.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2352,14.5,23.3,299.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2353,11.3,18.0,320.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2354,9.9,14.5,332.0,0.06,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2355,15.4,23.2,355.0,0.07,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2356,16.3,23.7,355.0,0.07,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2357,12.6,19.1,354.0,0.07,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2358,4.2,7.2,82.0,0.07,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2359,3.8,6.0,43.0,0.07,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2360,2.3,4.0,65.0,0.16,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2361,9.6,14.0,308.0,0.16,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2362,3.7,6.0,53.0,0.16,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2363,8.9,12.7,354.0,0.16,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2364,12.0,17.6,65.0,0.16,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2365,8.7,13.2,58.0,0.16,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2366,11.5,17.0,77.0,0.16,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
2367,7.9,12.5,23.0,0.0,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2368,11.8,18.7,35.0,0.04,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2369,8.6,12.4,348.0,0.04,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2370,4.6,7.3,48.0,0.04,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2371,4.3,6.3,32.0,0.04,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2372,10.0,14.5,92.0,0.04,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2373,7.7,11.5,102.0,0.05,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2374,3.0,4.9,113.0,0.06,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2375,5.0,7.5,99.0,0.06,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2376,9.0,13.1,100.0,0.06,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
2377,4.4,6.6,99.0,0.06,3,10.195283018867924,6.85377358490566,0.23933962264150943,215.90880503144655
